id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags,language,instrumentalness,explicit
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,92,2010,euphoric|uplifting,english,0.02,false
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,45,2020,focused|mellow,instrumental,0.85,false
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,78,2000,aggressive|energetic,english,0.10,true
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,22,2020,nostalgic|mellow|calm,instrumental,0.90,false
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,88,2010,aggressive|euphoric|energetic,english,0.01,false
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,18,2020,dreamy|calm,instrumental,0.95,false
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,27,1990,nostalgic|warm,instrumental,0.60,false
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,64,1980,nostalgic|moody|dreamy,english,0.40,false
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,51,2020,focused|calm,instrumental,0.88,false
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,71,2010,euphoric|nostalgic,english,0.05,false
